gene	uniprot
HGD76_08155	A0A6H2BZL9
HGD76_13410	A0A6H2BZM1
HGD76_13635	A0A6H2BZR2
HGD76_10730	A0A6H2BZR4
HGD76_13660	A0A6H2BZR8
HGD76_09845	A0A6H2BZS5
HGD76_13750	A0A6H2BZS9
HGD76_10860	A0A6H2BZT1
HGD76_11835	A0A6H2BZT2
HGD76_10915	A0A6H2BZT9
HGD76_11510	A0A6H2BZU6
HGD76_10160	A0A6H2BZV0
HGD76_10010	A0A6H2BZV1
HGD76_08725	A0A6H2BZV7
HGD76_11640	A0A6H2BZW6
HGD76_10855	A0A6H2BZX1
HGD76_13955	A0A6H2BZX3
HGD76_08935	A0A6H2BZY6
HGD76_14125	A0A6H2BZZ5
HGD76_09215	A0A6H2C002
HGD76_10520	A0A6H2C010
HGD76_14245	A0A6H2C017
HGD76_11430	A0A6H2C018
HGD76_09185	A0A6H2C031
HGD76_14385	A0A6H2C038
HGD76_09470	A0A6H2C042
HGD76_10530	A0A6H2C044
HGD76_12600	A0A6H2C053
HGD76_12245	A0A6H2C062
HGD76_11480	A0A6H2C072
HGD76_12295	A0A6H2C075
HGD76_10715	A0A6H2C076
HGD76_11010	A0A6H2C088
HGD76_12815	A0A6H2C096
HGD76_14745	A0A6H2C0A1
HGD76_09625	A0A6H2C0A2
HGD76_11675	A0A6H2C0A4
HGD76_11990	A0A6H2C0A7
HGD76_12470	A0A6H2C0A9
HGD76_12925	A0A6H2C0B5
HGD76_12520	A0A6H2C0C0
HGD76_14980	A0A6H2C0D2
HGD76_10100	A0A6H2C0D8
HGD76_09910	A0A6H2C0E4
HGD76_11350	A0A6H2C0E7
HGD76_11985	A0A6H2C0F0
HGD76_15110	A0A6H2C0F1
HGD76_15165	A0A6H2C0G0
HGD76_15180	A0A6H2C0G6
HGD76_12170	A0A6H2C0H9
HGD76_15405	A0A6H2C0K0
HGD76_13500	A0A6H2C0K6
HGD76_15525	A0A6H2C0L8
HGD76_10745	A0A6H2C0P4
HGD76_11775	A0A6H2C0Q9
HGD76_15805	A0A6H2C0R4
HGD76_13910	A0A6H2C0S1
HGD76_13970	A0A6H2C0T1
HGD76_12720	A0A6H2C0T2
HGD76_13020	A0A6H2C0T8
HGD76_10720	A0A6H2C0U2
HGD76_12030	A0A6H2C0U6
HGD76_14085	A0A6H2C0V4
HGD76_13700	A0A6H2C0W9
HGD76_14205	A0A6H2C0X4
HGD76_16225	A0A6H2C0X8
HGD76_10965	A0A6H2C0Y4
HGD76_12270	A0A6H2C0Y6
HGD76_12320	A0A6H2C0Z8
HGD76_11080	A0A6H2C103
HGD76_16465	A0A6H2C118
HGD76_11595	A0A6H2C126
HGD76_14580	A0A6H2C132
HGD76_11245	A0A6H2C141
HGD76_14185	A0A6H2C143
HGD76_11750	A0A6H2C155
HGD76_11820	A0A6H2C165
HGD76_12985	A0A6H2C166
HGD76_14490	A0A6H2C189
HGD76_16945	A0A6H2C198
HGD76_13995	A0A6H2C1A3
HGD76_14045	A0A6H2C1B3
HGD76_17070	A0A6H2C1C0
HGD76_15250	A0A6H2C1D8
HGD76_14040	A0A6H2C1E9
HGD76_13545	A0A6H2C1F1
HGD76_14115	A0A6H2C1G0
HGD76_14365	A0A6H2C1G5
HGD76_12420	A0A6H2C1G7
HGD76_15445	A0A6H2C1H0
HGD76_13720	A0A6H2C1H9
HGD76_15495	A0A6H2C1I1
HGD76_17410	A0A6H2C1I3
HGD76_12165	A0A6H2C1I4
HGD76_12525	A0A6H2C1I5
HGD76_13440	A0A6H2C1I6
HGD76_17450	A0A6H2C1I7
HGD76_13770	A0A6H2C1I8
HGD76_17465	A0A6H2C1J3
HGD76_13505	A0A6H2C1J7
HGD76_13905	A0A6H2C1L2
